                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.53819,                0.51509,                 1.0889,                0.81597,                0.69877,                0.81436,                0.62693,                 0.8964,                0.94956,                 1.4464,             0.00016636,             0.00016636,             0.00016636
                     62,                0.53233,                0.50256,                 1.0863,                 0.7347,                0.75581,                 0.7823,                0.60411,                0.94083,                 1.0066,                 1.5013,              0.0001624,              0.0001624,              0.0001624
                     63,                0.49522,                0.47702,                 1.0571,                0.78114,                0.73384,                0.78439,                0.62106,                0.89847,                 1.0308,                 1.5188,             0.00015844,             0.00015844,             0.00015844
                     64,                0.49858,                0.46591,                 1.0647,                0.78177,                0.72549,                0.75713,                 0.5896,                0.95331,                 1.1509,                 1.6021,             0.00015448,             0.00015448,             0.00015448
                     65,                0.51096,                0.47715,                 1.0829,                0.82127,                0.70831,                0.77377,                 0.6054,                0.94334,                 1.0175,                 1.5799,             0.00015052,             0.00015052,             0.00015052
                     66,                0.49737,                 0.4726,                 1.0792,                0.75129,                 0.8074,                0.80896,                0.60874,                0.93247,                0.95732,                 1.5527,             0.00014656,             0.00014656,             0.00014656
                     67,                0.48525,                0.43807,                  1.046,                0.76056,                  0.807,                 0.8306,                0.63558,                0.90458,                0.96364,                 1.4945,              0.0001426,              0.0001426,              0.0001426
                     68,                0.48237,                0.45518,                 1.0499,                0.73713,                0.77551,                0.80783,                0.61487,                0.91601,                 1.0069,                 1.5133,             0.00013864,             0.00013864,             0.00013864
                     69,                0.46465,                0.44454,                 1.0426,                0.73098,                0.74902,                0.79305,                0.62679,                0.86717,                  1.022,                 1.4629,             0.00013468,             0.00013468,             0.00013468
                     70,                 0.4639,                0.45674,                 1.0456,                0.72706,                0.78587,                0.82132,                0.65923,                0.83911,                0.95159,                 1.4455,             0.00013072,             0.00013072,             0.00013072
                     71,                0.48018,                0.47814,                 1.0499,                0.77087,                0.80208,                0.84573,                0.66579,                0.85496,                0.93331,                 1.4722,             0.00012676,             0.00012676,             0.00012676
                     72,                0.47914,                0.45224,                 1.0495,                0.69274,                0.77619,                0.82579,                0.63425,                0.88329,                 1.0032,                 1.4715,              0.0001228,              0.0001228,              0.0001228
                     73,                0.46445,                0.42905,                 1.0452,                0.71718,                0.78005,                0.81298,                0.64925,                0.87937,                0.98676,                 1.4635,             0.00011884,             0.00011884,             0.00011884
                     74,                0.45262,                0.42256,                 1.0263,                0.79179,                0.71058,                0.78726,                 0.6326,                0.85572,                0.96074,                 1.4626,             0.00011488,             0.00011488,             0.00011488
                     75,                0.45865,                0.42113,                 1.0361,                0.80693,                0.69495,                0.80675,                0.64357,                0.88445,                0.98075,                 1.4839,             0.00011092,             0.00011092,             0.00011092
                     76,                0.47966,                0.44545,                 1.0491,                0.68164,                0.78425,                0.78673,                0.62525,                0.86981,                 1.0186,                 1.4702,             0.00010696,             0.00010696,             0.00010696
                     77,                 0.4486,                0.42202,                 1.0331,                0.72388,                0.78347,                0.78452,                0.62127,                0.84507,                0.97085,                  1.458,               0.000103,               0.000103,               0.000103
                     78,                0.44361,                0.41554,                 1.0334,                0.67976,                0.78826,                0.77955,                0.61176,                0.86392,                0.96507,                 1.4643,              9.904e-05,              9.904e-05,              9.904e-05
                     79,                 0.4349,                0.41099,                 1.0317,                0.67123,                0.79849,                0.76341,                0.60373,                0.86813,                 1.0051,                 1.4746,              9.508e-05,              9.508e-05,              9.508e-05
                     80,                 0.4386,                0.40624,                 1.0291,                0.72924,                0.76299,                 0.7859,                0.61963,                0.87575,                 1.0491,                  1.488,              9.112e-05,              9.112e-05,              9.112e-05
                     81,                0.44208,                  0.377,                 1.0339,                0.74675,                0.74012,                0.78217,                0.61848,                0.87731,                 1.1082,                 1.4851,              8.716e-05,              8.716e-05,              8.716e-05
                     82,                0.44597,                0.40453,                 1.0341,                0.75705,                0.74142,                 0.7937,                0.63093,                0.86752,                 1.0623,                 1.4946,               8.32e-05,               8.32e-05,               8.32e-05
                     83,                0.41064,                0.38664,                 1.0109,                0.71808,                0.79716,                0.81738,                 0.6418,                0.85544,                0.94469,                 1.4746,              7.924e-05,              7.924e-05,              7.924e-05
                     84,                0.43991,                0.39279,                 1.0206,                0.79996,                0.73205,                0.81602,                0.64375,                0.84006,                0.93773,                 1.4745,              7.528e-05,              7.528e-05,              7.528e-05
                     85,                0.41873,                 0.3897,                 1.0224,                 0.7679,                0.77024,                0.81122,                0.65781,                0.84219,                0.92529,                 1.4786,              7.132e-05,              7.132e-05,              7.132e-05
                     86,                0.42566,                0.38775,                 1.0239,                0.75832,                0.77762,                0.81551,                 0.6522,                0.88955,                0.97537,                 1.5047,              6.736e-05,              6.736e-05,              6.736e-05
